slug,title,primary_keyword,category_hint,page_type,cluster,priority
local-seo-newcastle,Local SEO Newcastle — Complete Guide,local seo newcastle,SEO,guide_page,local_seo,1
google-business-profile-newcastle,How to Set Up Google Business Profile in Newcastle,google business profile newcastle,SEO,guide_page,local_seo,1
free-business-audit-newcastle,Free Newcastle Business Digital Audit — What to Expect,free business audit newcastle,Consulting,landing_page,audit,1
website-design-newcastle,Website Design for Newcastle Small Businesses,website design newcastle,Web Design,landing_page,web_design,1
seo-newcastle-nsw,SEO Services Newcastle NSW — Get Found on Google,seo newcastle,SEO,landing_page,local_seo,2
digital-marketing-newcastle,Digital Marketing for Newcastle Businesses,digital marketing newcastle,Digital Marketing,landing_page,digital_marketing,2
newcastle-business-online-presence,How to Build Your Newcastle Business Online Presence,online presence newcastle,Digital Marketing,guide_page,digital_marketing,2
google-reviews-newcastle,How to Get More Google Reviews for Your Newcastle Business,google reviews newcastle,Reputation,guide_page,reputation,2
local-seo-vs-national-seo,Local SEO vs National SEO — Which Does Your Business Need?,local seo vs national seo,SEO,comparison_page,local_seo,3
best-website-builders-small-business,Best Website Builders for Newcastle Small Businesses,website builder small business,Web Design,comparison_page,web_design,3
social-media-newcastle,Social Media Management for Newcastle Businesses,social media newcastle,Social Media,landing_page,social_media,3
newcastle-business-directory,Newcastle Business Directory — Get Listed Online,newcastle business directory,Local Marketing,landing_page,directory,3
seo-newcastle-cbd,SEO Services for Newcastle CBD Businesses,seo newcastle cbd,SEO,city_landing_page,local_seo,4
seo-hunter-valley,SEO Services Hunter Valley NSW,seo hunter valley,SEO,city_landing_page,local_seo,4
seo-lake-macquarie,SEO Services Lake Macquarie NSW,seo lake macquarie,SEO,city_landing_page,local_seo,4
website-speed-newcastle,Why Your Newcastle Business Website is Slow (and How to Fix It),website speed newcastle,Web Design,guide_page,web_design,4
content-marketing-newcastle,Content Marketing for Newcastle Businesses — A Practical Guide,content marketing newcastle,Content,guide_page,digital_marketing,4
email-marketing-newcastle,Email Marketing for Newcastle Small Businesses,email marketing newcastle,Email,guide_page,digital_marketing,5
citation-building-newcastle,What Are Local Citations and Why Does Your Newcastle Business Need Them,local citations newcastle,SEO,guide_page,local_seo,5
technical-seo-newcastle,Technical SEO Checklist for Newcastle Business Websites,technical seo audit,SEO,guide_page,local_seo,5
how-to-rank-google-maps-newcastle,How to Rank on Google Maps in Newcastle,rank google maps newcastle,SEO,guide_page,local_seo,5
newcastle-digital-marketing-faq,Newcastle Digital Marketing — Frequently Asked Questions,digital marketing faq newcastle,Digital Marketing,faq_page,digital_marketing,6
local-seo-faq-newcastle,Local SEO FAQs for Newcastle Businesses,local seo faq newcastle,SEO,faq_page,local_seo,6
best-australian-christmas-candy-gift-ideas-2026,The Best Australian Christmas Candy Gift Ideas for 2026,Australian Christmas candy,Seasonal,landing_page,general,3
top-australian-candy-brands-2026,Top Australian Candy Brands to Try in 2026,Australian candy brands,Brand Reviews,landing_page,general,3
top-10-australian-candies-2026,Top 10 Australian Candies to Try in 2026,Australian candies,Local Flavours,landing_page,general,3
healthy-candy-options-australia-2026,Healthy Candy Options for Australians in 2026,healthy candy Australia,Health & Lifestyle,landing_page,general,3
buying-candy-online-australia-2026,The Ultimate Guide to Buying Candy Online in Australia (2026 Edition),buy candy online Australia,Buying Guides,landing_page,general,3
top-australian-confectionery-brands-2026,Top 10 Australian Confectionery Brands to Try in 2026,Australian confectionery brands,Brands & Reviews,landing_page,general,3
sugar-free-candy-australia-2026,Sugar-Free Candy Options Available in Australia 2026,sugar-free candy Australia,Health,landing_page,general,3
buying-bulk-candy-australia-2026,The Ultimate Guide to Buying Bulk Candy in Australia 2026,bulk candy Australia,Buyer Guides,landing_page,general,3
vegan-candy-australia-2026,The Ultimate Guide to Vegan Candy Options in Australia 2026,vegan candy Australia,Health Conscious,landing_page,general,3
aussie-easter-candy-trends-2026,Aussie Easter Candy Trends for 2026,Easter candy Australia 2026,Seasonal Trends,landing_page,general,3
easter-candy-trends-australia-2026,Easter Candy Trends for 2026: What's New in Australia?,Easter candy trends,Seasonal,landing_page,general,3
candy-gift-ideas-christmas-2026,Sweet Gift Ideas: Best Candy for Christmas 2026 in Australia,candy gift ideas,Seasonal Gifts,landing_page,general,3
candy-buffet-tips-2026,How to Host a Candy Buffet: Tips and Ideas for 2026,candy buffet ideas,Event Planning,landing_page,general,3
history-of-candy-in-australia-2026,The History of Candy in Australia: What You Need to Know in 2026,history of candy Australia,Educational,landing_page,general,3
candy-buffet-weddings-australia-2026,How to Create a Candy Buffet for Weddings in Australia 2026,candy buffet weddings,Event Planning,landing_page,general,3
homemade-candy-recipes-2026,How to Make Homemade Candy: Easy Recipes for 2026,homemade candy recipes,DIY & Recipes,landing_page,general,3
best-chocolate-brands-australia-2026,Best Chocolate Brands in Australia in 2026,best chocolate brands Australia,Brand Comparisons,landing_page,general,3
healthier-candy-options-2026,The Ultimate Guide to Choosing Healthier Candy Options in 2026,healthier candy options,Health & Diet,landing_page,general,3
best-easter-candy-hampers-2026,Best Easter Candy Hampers for 2026: A Sweet Australian Selection,Easter candy hampers,Seasonal,landing_page,general,3
candy-packaging-trends-australia-2026,The Evolution of Candy Packaging in Australia: Trends for 2026,candy packaging trends Australia 2026,Industry Insights,landing_page,general,3
best-lollies-kids-parties-australia-2026,Best Lollies for Kids' Parties in Australia 2026,lollies for kids parties,Event Planning,landing_page,general,3
easter-candy-ideas-2026,The Ultimate Guide to Easter Candy Ideas for 2026,Easter candy ideas,Seasonal Trends,landing_page,general,3
candy-tasting-party-ideas-2026,How to Host a Candy Tasting Party: Tips and Ideas for 2026,candy tasting party ideas,Lifestyle & Events,landing_page,general,3
candy-themed-party-ideas-2026,How to Host a Candy-Themed Party: Ideas and Tips for 2026,candy-themed party,DIY & Lifestyle,landing_page,general,3
easter-candy-deals-2026,Easter 2026: The Best Chocolate Eggs and Candy Deals in Australia,Easter candy deals,Seasonal Promotions,landing_page,general,3
aussie-vs-international-candy-2026,Aussie vs. International Candy: What Stands Out in 2026?,Aussie vs international candy,Comparisons & Opinion,landing_page,general,3
halloween-candy-deals-australia-2026,The Best Halloween Candy Deals in Australia for 2026,Halloween candy deals,Seasonal,landing_page,general,3
diy-candy-recipes-2026,DIY Candy Recipes to Make at Home in 2026,DIY candy recipes,Recipes and DIY,landing_page,general,3
aussie-vs-american-candy-showdown-2026,Aussie Candy vs. American Candy: The Ultimate 2026 Showdown,Aussie candy vs. American candy,Comparative Analysis,landing_page,general,3
sweetest-brands-candy-reviews-2026,The Sweetest Brands: Candy Reviews of 2026,candy reviews,Brand Comparison,landing_page,general,3
best-candy-gift-hampers-australia-2026,How to Choose the Best Candy Gift Hampers in Australia 2026,candy gift hampers Australia,Buying Guides,landing_page,general,3
popular-lollies-taste-test-australia-2026,Comparing Popular Lollies in Australia: Taste Test 2026,popular lollies Australia,Product Comparisons,landing_page,general,3
best-easter-chocolates-australia-2026,Comparing the Best Easter Chocolates in Australia for 2026,Easter chocolates Australia,Comparisons,landing_page,general,3
candy-making-classes-australia-2026,Candy Making Classes and Workshops in Australia 2026,candy making classes Australia,Experiences & Events,landing_page,general,3
ultimate-guide-custom-candy-gift-box-2026,The Ultimate Guide to Creating a Custom Candy Gift Box in 2026,custom candy gift box,DIY & Guides,landing_page,general,3
2026-best-candy-gift-boxes-brand-comparison,2026's Best Candy Gift Boxes: A Sweet Brand Comparison,best candy gift boxes,Product Reviews,landing_page,general,3
top-10-sour-lollies-australia-2026,Top 10 Sour Lollies to Try in Australia 2026,best sour lollies Australia 2026,Product Reviews,landing_page,general,3
sour-lollies-christmas-gift-guide-2026,Sour Lollies for Christmas: The Ultimate 2026 Gift Guide,sour lollies Christmas gifts,Seasonal Guides,landing_page,general,3
australian-sour-lollies-local-vs-international-2026,Australian Sour Lollies: Comparing Local and International Brands 2026,Australian sour lollies brands,Comparisons,landing_page,general,3
choose-perfect-candy-gift-box-valentines-2026,How to Choose the Perfect Candy Gift Box for Valentine's Day 2026,Valentine's candy gift box,Guides,landing_page,general,3
sour-lollies-every-season-guide-2026,Sour Lollies for Every Season: The Ultimate Guide 2026,seasonal sour lollies,Guides & Tips,landing_page,general,3
eco-friendly-candy-gift-box-options-australia-2026,Eco-Friendly Candy Gift Box Options in Australia 2026,eco-friendly candy gift box Australia,Sustainability,landing_page,general,3
