slug,title,primary_keyword,category_hint,page_type,cluster,priority
white-knight-chocolate-where-to-buy-australia,White Knight Chocolate: Where to Buy in Australia,white knight chocolate where to buy,Chocolate Bars,landing_page,chocolate,1
fantales-lollies-buying-guide,"Fantales Lollies Buying Guide: Where to Buy, 1kg Options, and Best Alternatives",fantales lollies,Candy & Lollies,guide_page,australian_candy,2
are-jolly-ranchers-halal,"Are Jolly Ranchers Halal? Ingredients, Gelatine, and What to Check",are jolly ranchers halal,American Candy,guide_page,halal_vegan,2
are-nerds-vegan,"Are Nerds Vegan? Ingredients, Colours, and Vegan-Friendly Alternatives",are nerds vegan,Candy Ingredients,guide_page,halal_vegan,2
nilla-wafers-australia-where-to-buy,"Nilla Wafers in Australia: Where to Buy and Best Alternatives",nilla wafers australia where to buy,American Snacks,landing_page,american_candy,2
best-candy-for-kids-australia,Best Candy for Kids Australia: Safe and Fun Lolly Picks,best candy for kids australia,Kids Candy,occasion_page,occasion,3
best-lollies-for-party-bags,Best Lollies for Party Bags Australia: Bulk Picks Under Budget,best lollies for party bags,Party Supplies,occasion_page,occasion,3
best-candy-for-movie-night,Best Candy for Movie Night Australia: Sweet and Salty Picks,best candy for movie night australia,Candy,occasion_page,occasion,3
american-candy-australia,American Candy Australia: Buy US Sweets Online,american candy australia,American Candy,landing_page,american_candy,1
american-candy-guide,American Candy Guide: Popular US Sweets Explained,popular american candy brands,American Candy,category_page,american_candy,2
japanese-candy-australia,Japanese Candy Australia: Where to Buy Dagashi and Pocky,japanese candy australia,Japanese Candy,category_page,japanese_candy,2
sour-lollies-australia,Sour Lollies Australia: Best Sour Candy to Buy Online,sour lollies australia,Sour Candy,category_page,sour_candy,2
buy-bulk-candy-online-australia,Buy Bulk Candy Online Australia: Cheapest Lolly Packs,buy bulk candy online australia,Wholesale,landing_page,commercial,1
candy-gift-box-australia,Candy Gift Box Australia: Best Sweet Hampers and Lolly Bags,candy gift box australia,Gift Sets,landing_page,commercial,1
cheap-candy-online-australia,Cheap Candy Online Australia: Best Value Lolly Deals,cheap candy online australia,Candy,landing_page,commercial,2
christmas-candy-australia,Christmas Candy Australia: Festive Lollies and Sweet Gifts,christmas candy australia,Seasonal Candy,occasion_page,seasonal,1
halloween-candy-australia,Halloween Candy Australia: Best Trick or Treat Lollies,halloween candy australia,Seasonal Candy,occasion_page,seasonal,1
easter-candy-australia,Easter Candy Australia: Chocolate Eggs and Easter Lollies,easter candy australia,Easter Chocolate,occasion_page,seasonal,1
valentines-day-candy-australia,Valentine's Day Candy Australia: Sweet Gifts for Your Partner,valentines day candy australia,Gift Sets,occasion_page,seasonal,2
mothers-day-chocolate-australia,Mother's Day Chocolate Australia: Sweet Gifts Mum Will Love,mothers day chocolate australia,Gift Sets,occasion_page,seasonal,2
fathers-day-candy-australia,Father's Day Candy Australia: Sweet and Savoury Gift Ideas,fathers day candy australia,Gift Sets,occasion_page,seasonal,2
wedding-candy-australia,Wedding Candy Australia: Lolly Buffets and Bonbonniere Ideas,wedding candy australia,Gift Sets,occasion_page,occasion,1
birthday-candy-australia,Birthday Candy Australia: Fun Lolly Bags and Party Sweets,birthday candy australia,Party Supplies,occasion_page,occasion,1
engagement-party-lollies,Engagement Party Lollies: Sweet Ideas for Your Celebration,engagement party lollies australia,Party Supplies,occasion_page,occasion,2
baby-shower-candy-australia,Baby Shower Candy Australia: Cute Sweet Treats for the Big Day,baby shower candy australia,Party Supplies,occasion_page,occasion,2
uk-sweets-australia,UK Sweets Australia: British Lollies and Candy to Buy Online,uk sweets australia,British Candy,category_page,international_candy,1
british-chocolate-australia,British Chocolate Australia: Buy Cadbury UK and More Online,british chocolate australia,British Candy,landing_page,international_candy,2
korean-snacks-australia,Korean Snacks Australia: Buy K-Snacks and Pepero Online,korean snacks australia,Korean Snacks,category_page,international_candy,2
european-chocolate-australia,European Chocolate Australia: Belgian and Swiss Choc Online,european chocolate australia,European Chocolate,category_page,international_candy,2
halal-candy-australia,Halal Candy Australia: Gelatine-Free Lollies and Sweets,halal candy australia,Halal Candy,landing_page,halal_vegan,1
vegan-lollies-australia,Vegan Lollies Australia: Gelatine-Free and Plant-Based Candy,vegan lollies australia,Vegan Candy,landing_page,halal_vegan,1
sugar-free-lollies-australia,Sugar Free Lollies Australia: Best Low-Sugar Candy Online,sugar free lollies australia,Sugar Free,landing_page,health,2
